연도,월,생산량
2016,01,4288593
2016,02,3592400
2016,03,3201669
2016,04,2135286
2016,05,1989360
2016,06,2076852
2016,07,2300665
2016,08,2278564
2016,09,2046908
2016,10,2523673
2016,11,3473228
2016,12,3912322
2017,01,4207223
2017,02,3804316
2017,03,3427452
2017,04,2420775
2017,05,2075409
2017,06,2230415
2017,07,2490762
2017,08,2269045
2017,09,1984946
2017,10,2157623
2017,11,3621631
2017,12,4951454
2018,01,5237703
2018,02,4384777
2018,03,3841499
2018,04,3127678
2018,05,2742394
2018,06,2629796
2018,07,2752572
2018,08,2726077
2018,09,2171415
2018,10,2967234
2018,11,3531774
2018,12,4763917
2019,01,4891471
2019,02,3970829
2019,03,3681343
2019,04,3193679
2019,05,2597643
2019,06,2318995
2019,07,2707143
2019,08,2673247
2019,09,2316792
2019,10,2663634
2019,11,3590748
2019,12,4853647
2020,01,4782757
2020,02,4245791
2020,03,3833352
2020,04,2833558
2020,05,2165280
2020,06,2291469
2020,07,2468908
2020,08,2812994
2020,09,2666938
2020,10,2949420
2020,11,3679463
2020,12,5243033
2021,01,5666333
2021,02,4342644
2021,03,4141503
2021,04,3296135
2021,05,2972416
2021,06,2943359
2021,07,3264511
2021,08,2942282
2021,09,2786125.254
2021,10,3168051.659
2021,11,3822459.202
2021,12,4918503.724
2022,01,5337930.094
2022,02,4727536.483
2022,03,4510243.141
2022,04,3280795.562
2022,05,2918718.758
2022,06,2877369.949
2022,07,3175651.631
2022,08,2885559.384
2022,09,2575865.622
2022,10,2932386.685
